from,to,count,kind,type,status,reason
irmhild_bossdorf,tomaszfroelich,7,live,link,,
jadeutschland,afdjugendbw,7,live,link,,
jadeutschland,bjoernhoeckeafd,7,live,link,,
jadeutschland,jungeuropa,7,live,link,,
jungealternativenrw,freilichmagazin,7,live,link,,
jungealternativenrw,unblogd,7,live,link,,
kaernten_geht_in_die_offensive,auf1tv,7,live,link,,
lionedler,dekurier,7,live,link,,
marcus_buehl,afdbrennpunkt,7,live,link,,
marvintneumann,obertteske,7,live,link,,
prototelegram,derdrittewegsauerlandsiegerland,7,live,link,,
soldaten_und_reservisten,einfach_gesundheit,7,live,link,,
thymosmagazin,freilichmagazin,7,live,link,,
tomaszfroelich,jadeutschland,7,live,link,,
voxeuropaherald,freilichmagazin,7,live,link,,
waldgangalbdruck,mkl1960,7,live,link,,
zentrum_chemnitz,aktion451,7,live,link,,
zurlage,bjoernhoeckeafd,7,live,link,,
afd_duesseldorf,elmarsalingerafd,6,live,link,,
afd_thl,bjoernhoeckeafd,6,live,link,,
afderfurt,obertteske,6,live,link,,
afdthueringen,danielhaseloffafd,6,live,link,,
afdthueringen,moellerth,6,live,link,,
aktion451,heimatkurier,6,live,link,,
aktivistmanuel,solisstorech,6,live,link,,
alexsellberlin,alexander_bertram,6,live,link,,
alexsellberlin,thorstenweissafd,6,live,link,,
aufdiestrasse,aktion451,6,live,link,,
aufdiestrasse,heimatkurier,6,live,link,,
castellaurora,fabianjankafd,6,live,link,,
castellaurora,identitaereoesterreich,6,live,link,,
christian_zaum_afd,dekurier,6,live,link,,
compact,faktenklaro,6,live,link,,
compact,ukr_leaks_de,6,live,link,,
danielhaseloffafd,joernhoeckeafd,6,live,link,,
danielhaseloffafd,obertteske,6,live,link,,
dereckart,benediktkaiser,6,live,link,,
ein_prozent,fabianjankafd,6,live,link,,
franzschmidafd,janordschwaben,6,live,link,,
generation_thueringen,wilhelmkachel,6,live,link,,
identitaereoesterreich,lederhosenrevolte,6,live,link,,
irmhild_bossdorf,matthiashelferich,6,live,link,,
irmhild_bossdorf,reinweiblich,6,live,link,,
jadeutschland,aktion451,6,live,link,,
jadresden,ein_prozent,6,live,link,,
juergenpohlafd,joernhoeckeafd,6,live,link,,
jungealternativenrw,matthiashelferich,6,live,link,,
jungealternativenrw,tagesstimme,6,live,link,,
jungealternativesh,gereonbollmannmdb,6,live,link,,
kaernten_geht_in_die_offensive,neuesausrussland,6,live,link,,
lukreta,dekurier,6,live,link,,
lukreta,krautzone,6,live,link,,
marvintneumann,castellaurora,6,live,link,,
matthiashelferich,christian_zaum_afd,6,live,link,,
moellerth,joernhoeckeafd,6,live,link,,
reconquista21,jungealternativeschwaben,6,live,link,,
reinweiblich,irmhild_bossdorf,6,live,link,,
rfjooe,info_direkt,6,live,link,,
rfjooe,rtvooe,6,live,link,,
spanielmdb,afdstuttgart,6,live,link,,
thymosmagazin,martinsellnerib,6,live,link,,
visionremigrationch,jungetat,6,live,link,,
voxeuropaherald,institutiliade,6,live,link,,
waldgangalbdruck,niusde,6,live,link,,
wolfpmsoffiziell,identitaeredeutschland,6,live,link,,
afd_duesseldorf,franosch,5,live,link,,
afderfurt,bjoernhoeckeafd,5,live,link,,
afderfurt,danielhaseloffafd,5,live,link,,
afdjugendbw,heimatkurier,5,live,link,,
afdjugendbw,ibsachsen,5,live,link,,
afdschleswigholstein,afdeu,5,live,link,,
afdschleswigholstein,jungealternativesh,5,live,link,,
aktion451,zeitschrift_sezession,5,live,link,,
alex_malenki,afdfraktionbb,5,live,link,,
alex_malenki,aktionsmelder,5,live,link,,
alex_malenki,ibsachsen,5,live,link,,
alex_malenki,trigger_fm,5,live,link,,
alex_malenki,wbost,5,live,link,,
aufdiestrasse,identitaereoesterreich,5,live,link,,
