id,status,reason,total_mentions,source_group_count,source_groups
smatterofficial,not_found,"No user has ""smatterofficial"" as username",28,11,sharedefiant|wlm_eu_czech_republic|wlm_eu_poland|wlm_eu_slovakia|wlm_eu_united_kingdom|wlm_usa_idaho|wlm_usa_minnesota|wlm_usa_new_york2|wlm_usa_ohio|wlm_usa_oregon|wlm_usa_wisconsin
legioneuropa,flood_wait_exceeded,flood wait 72985s exceeds maxWait=3600s,26,7,ultrasnotreds8|wlm_eu_netherlands|wlm_eu_russia|wlm_eu_russia_chat|wlm_eu_ukraine|wlm_usa_north_carolina|wlm_usa_pennsylvania
livesmatterofficial,not_found,"No user has ""livesmatterofficial"" as username",26,6,whitelivesmatterofficial|whitelivesmatterofficialchat2|wlm_eu_czech_republic|wlm_eu_russia|wlm_eu_united_kingdom|wlm_usa_california
whitealexandriaslibrary,not_found,"No user has ""whitealexandriaslibrary"" as username",26,8,wlm_eu_poland|wlm_eu_slovakia|wlm_eu_united_kingdom|wlm_usa_idaho|wlm_usa_montana|wlm_usa_north_carolina|wlm_usa_oregon|wlm_usa_tennessee
wlmsubmissionsbot,flood_wait_exceeded,flood wait 72950s exceeds maxWait=3600s,26,1,wlm_usa_north_carolina
ivesmatterofficial,not_found,"No user has ""ivesmatterofficial"" as username",24,6,wlm_canada|wlm_eu_czech_republic|wlm_eu_netherlands|wlm_eu_ukraine|wlm_eu_united_kingdom|wlmofficial14
sugartreelegion,flood_wait_exceeded,flood wait 73187s exceeds maxWait=3600s,24,1,wlm_usa_new_york2
lasvegasactiveclub,flood_wait_exceeded,flood wait 73761s exceeds maxWait=3600s,22,1,wlm_usa_arizona
wlm_usa_south_carolina_chat,flood_wait_exceeded,flood wait 72929s exceeds maxWait=3600s,22,2,wlm_usa_north_carolina|wlm_usa_tennessee
wlmofficial,invalid_username,username invalid,22,5,wlm_eu_poland|wlm_eu_slovakia|wlm_usa_north_carolina|wlm_usa_oregon|wlmofficial14
battleofeuropa,invalid_username,username invalid,20,4,wlm_eu_poland|wlm_eu_slovakia|wlm_usa_oregon|wlmofficial14
vesmatterofficial,not_found,"No user has ""vesmatterofficial"" as username",20,6,wlm_eu_czech_republic|wlm_eu_netherlands|wlm_eu_poland|wlm_eu_russia|wlm_eu_united_kingdom|wlm_usa_new_york2
wolvenrad,not_found,"No user has ""wolvenrad"" as username",20,5,wlm_eu_netherlands|wlm_eu_ukraine|wlm_usa_michigan|wlm_usa_texas|wlm_usa_texas2
europarevival1,flood_wait_exceeded,flood wait 73652s exceeds maxWait=3600s,18,5,ultrasnotreds8|wlm_eu_italy|wlm_eu_poland|wlm_eu_ukraine|wlm_usa_new_jersey
lmofficial,invalid_username,username invalid,18,7,wlm_canada|wlm_eu_poland|wlm_eu_slovakia|wlm_usa_montana|wlm_usa_north_carolina|wlm_usa_oregon|wlmofficial14
wlm_canada_toronto,flood_wait_exceeded,flood wait 73311s exceeds maxWait=3600s,16,1,wlm_canada
wlm_usa_arizona_chat,flood_wait_exceeded,flood wait 73795s exceeds maxWait=3600s,16,3,wlm_usa_arizona|wlm_usa_north_carolina|wlm_usa_tennessee
wlm_usa_kentucky,flood_wait_exceeded,flood wait 74023s exceeds maxWait=3600s,16,4,wlm_eu_russia_chat|wlm_usa_ohio|wlm_usa_pennsylvania|wlm_usa_tennessee
wlm_usa_new_york_chat2,flood_wait_exceeded,flood wait 73096s exceeds maxWait=3600s,16,1,wlm_usa_new_york2
wlm_usa_virginia,flood_wait_exceeded,flood wait 72912s exceeds maxWait=3600s,16,5,whitelivesmatterofficial|whitelivesmatterofficialchat2|wlm_usa_north_carolina|wlm_usa_ohio|wlm_usa_wisconsin
lm_usa_new_york2,not_found,"No user has ""lm_usa_new_york2"" as username",14,2,whitelivesmatterofficial|wlm_usa_new_york2
realvincentjames,flood_wait_exceeded,flood wait 73972s exceeds maxWait=3600s,14,5,wlm_canada|wlm_usa_idaho|wlm_usa_michigan|wlm_usa_ohio|wlm_usa_pennsylvania
canadian_nationalist_patriots,flood_wait_exceeded,flood wait 73472s exceeds maxWait=3600s,12,2,wlm_canada|wlm_usa_michigan
embracestruggleac,flood_wait_exceeded,flood wait 73990s exceeds maxWait=3600s,12,3,njeha1|wlm_usa_ohio|wlm_usa_pennsylvania
